[10.4s-209.7s] 哈喽大家晚上好啊
[2817.1s-2818.1s] 线下聚会
[2818.1s-2819.1s] 只有我们直播间的人
[2819.1s-2820.1s] 有资格
[2820.1s-2822.1s] 在这个直播间里面
[2822.1s-2824.1s] 大概只有100个名额
[2824.1s-2826.1s] 我们直播间有几千个人
[2826.1s-2828.1s] 你们自己去想
[2828.1s-2831.1s] 到时候就看你们的打板手术了
[2832.1s-2833.1s] 好吧我会通知你们放心
[2833.1s-2835.1s] 公平公正大家抢
[2835.1s-2837.1s] 公平公正大家抢
[2837.1s-2843.8s] OK来
[2843.8s-2847.8s] 那么所有的
[2847.8s-2849.8s] 我们就保持这样子的节奏就可以了
[2849.8s-2851.8s] 现在我们也有六成舱位了
[2851.8s-2852.8s] 哪怕
[2853.8s-2855.8s] 哪怕你是手上是
[2855.8s-2856.8s] ETF的
[2856.8s-2857.8s] 也问题不大
[2857.8s-2858.8s] 今天你ETF
[2858.8s-2860.8s] 昨天今天进ETF的人
[2860.8s-2861.8s] 也赚了不少了
[2862.8s-2863.8s] 对吧
[2863.8s-2865.8s] 今天半导体的ETF也赚了不少了
[2865.8s-2866.8s] 你也很舒服
[2866.8s-2868.8s] 半导体的波动率相对比较小
[2868.8s-2872.4s] 一定都是周六
[2872.4s-2874.4s] 一定都是周六
[2874.4s-2875.4s] 这个具体等通知
[2875.4s-2877.4s] 好吧我会给你们通知的
[2877.4s-2878.4s] 因为我们会办
[2878.4s-2880.4s] 因为不可能一场去办这么多人
[2880.4s-2882.4s] 我们会办好几场
[2882.4s-2883.4s] 好几场
[2883.4s-2885.4s] 每个周六去办
[2885.4s-2887.4s] 大家总能够抽出时间来的
[2889.4s-2891.4s] OK总能够抽出时间来的
[2891.4s-2895.6s] 好
[2895.6s-2896.6s] 我们今天直播就到这里
[2896.6s-2897.6s] 拜拜
[2897.6s-2898.6s] 下播拜拜
