[0.2s-134.0s] 不必许多过 请你许多 同时不自责
[134.0s-136.6s] 比别的不要强一点点
[2661.4s-2661.8s] 一个票
[2661.8s-2662.7s] 你们还记得吗
[2665.4s-2667.2s] 新艺概念股牛逼
[2667.2s-2669.9s] 新艺随便讲的票也很牛逼
[2670.2s-2671.8s] 还记得我在机器人里面
[2671.8s-2673.4s] 跟你们点过除了我们的三花以外
[2673.4s-2675.0s] 我跟你们点过唯一一个票
[2675.3s-2677.4s] 这个票是机器人的风向标
[2677.6s-2678.7s] 尚伟新财
[2679.7s-2680.9s] 从我讲完以后
[2680.9s-2683.0s] 这个标的已经涨了30多个点
[2683.3s-2684.5s] 将近40个点
[2684.6s-2686.4s] 仅仅在4天时间以内
[2687.4s-2688.0s] 对
[2689.1s-2691.1s] 他还在创历史新高
[2696.6s-2697.6s] 软件里面的票
[2697.6s-2699.6s] 不能跟软件综合胜率70%
[2699.6s-2700.8s] 你这么牛逼
[2703.0s-2704.6s] 你从小之前做到多少了
[2705.0s-2706.8s] 你能超过软件的胜率
[2709.2s-2710.7s] 你能超过软件的胜率
[2710.7s-2712.5s] 你知道现在软件的胜率有多少吗
[2713.5s-2716.1s] 你知道软件的收益率有多少吗
[2718.9s-2719.9s] 软件到现在为止
[2719.9s-2721.7s] 综合收益的64.1%
[2722.7s-2723.6s] 去想一下
[2726.9s-2728.9s] 最近今天可能有一些新粉进来
[2730.6s-2732.0s] 为什么看不上上尾
[2732.8s-2734.2s] 为什么要看上上尾
[2735.0s-2736.4s] 为什么我就不能
[2736.6s-2737.9s] 就是所有市场的标的
[2737.9s-2739.6s] 牛逼的标的都要被我选出来
[2743.7s-2745.3s] 就问这种问题的人
[2745.4s-2748.1s] 就是脑子有点不太灵光
[2748.7s-2750.3s] 为什么市场上面所有的好的标的
[2750.3s-2751.3s] 都要被我想出来
[2753.0s-2753.9s] 怎么巴菲特见了
[2753.9s-2755.4s] 我都要挨100个巴掌吗
[2757.7s-2759.0s] 哪来那么多为什么
[2759.3s-2760.3s] 没有为什么
[2761.6s-2764.0s] 人只能赚到自己认知范围内的钱
[2764.4s-2765.1s] 完事了
[2766.3s-2768.0s] 市场当中涨到好的票多得去了
[2768.2s-2769.3s] 都跟你有关系吗
[2774.9s-2777.1s] 上尾星才属于现在市场的审美吗
[2777.1s-2778.1s] 是大容量吗
[2778.1s-2779.3s] 是有业绩吗
[2779.3s-2780.7s] 是业绩可持续吗
[2781.4s-2782.0s] 是吗
[2789.5s-2790.6s] 符合市场的审美吗
[2790.9s-2792.3s] 市场现在的审美是什么
[2793.3s-2794.2s] 讲了多少遍了
[2794.9s-2795.5s] 容量
[2795.7s-2796.4s] 抱团
[2796.4s-2797.1s] 业绩
[2797.1s-2799.1s] 业绩可持续1000亿以上
[2800.4s-2801.2s] 这个叫做
[2801.5s-2804.3s] 我们通过排面能力能够赚到钱
[2806.8s-2808.0s] 而不是靠
[2808.6s-2810.2s] 而不是靠马后炮
[2810.5s-2811.4s] 上尾长得好
[2811.7s-2812.7s] 为什么没想到上尾
[2816.7s-2817.2s] 懂了吗
[2818.3s-2818.9s] 懂了吗
[2819.6s-2821.9s] 因为我用的方式是可以复制的
[2821.9s-2823.2s] 未来一年
[2823.2s-2823.8s] 两年
[2823.8s-2824.5s] 三年
[2824.5s-2825.1s] 五年
[2825.1s-2825.9s] 十年
[2826.0s-2827.3s] 都可以不停的复制
[2827.5s-2828.9s] 而选到上尾
[2828.9s-2830.5s] 是一个幸存者偏差
[2831.6s-2833.9s] 我对自己的能力非常有边界
[2834.7s-2837.2s] 但是为什么我能看到上尾
[2837.2s-2839.5s] 上尾是因为我一眼就能看出来
[2839.5s-2840.7s] 每个板块里面的
[2841.5s-2842.5s] 核心标地
[2842.9s-2843.7s] 能懂了吗
[2843.7s-2845.3s] 你能看出核心标地
[2845.3s-2846.7s] 跟符不符合自己的模式
[2846.7s-2847.6s] 要不要上车
[2847.6s-2848.7s] 是两件事情
[2849.4s-2850.4s] 听懂这句话
[2851.4s-2852.3s] 听懂这句话
[2852.3s-2853.2s] 价值又是1000万
[2853.2s-2853.5s] 来
[2853.5s-2854.3s] 我再重复一遍
[2855.8s-2856.7s] 听懂这句话
[2857.1s-2858.3s] 又是价值1000万
[2859.5s-2862.0s] 能够看懂这个市场最核心的标地
[2862.0s-2863.0s] 我用一秒钟时间
[2863.0s-2864.4s] 我就能看懂每个赛道里面
[2864.4s-2865.5s] 最核心的标地是谁
[2866.8s-2867.9s] 但是这些标地里面
[2867.9s-2869.5s] 符不符合自己模式的
[2869.5s-2870.6s] 又谨慎多少
[2871.1s-2872.7s] 因为只有符合模式的
[2872.7s-2874.8s] 你才有可能无限复制
[2875.0s-2876.8s] 一个模式不能被复制
[2877.5s-2878.8s] 靠运气和性沉
[2878.9s-2880.9s] 折偏差在一个标地上面赚到钱
[2880.9s-2882.0s] 没有任何意义
[2882.0s-2884.4s] 最终你都会还给市场
[2885.0s-2885.8s] 这就是为什么
[2885.8s-2886.7s] 很多人弄不灵青
[2886.7s-2887.6s] 天天跟我讲
[2887.9s-2889.5s] 我曾经买到过什么什么股
[2889.9s-2890.9s] 后面涨了多少
[2891.3s-2892.5s] 我曾经买到过什么什么股
[2892.8s-2894.6s] 你在交易市场做了10年
[2894.6s-2895.9s] 别说买到过一个股
[2897.3s-2899.5s] 我这辈子都不知道买到过多少个牛股了
[2899.5s-2901.6s] 属着灵青什么牛股没有参与过
[2902.9s-2903.6s] 有用吗
[2903.9s-2904.5s] 没有用
[2908.7s-2909.4s] 能懂了吗
[2909.8s-2911.0s] 非常重要的一句话
[2911.0s-2911.8s] 送给大家
[2912.5s-2913.7s] 你们在这个直播间
[2913.7s-2915.7s] 会听到很多不一样的内容
[2916.0s-2917.2s] 而我分享的内容
[2917.2s-2919.6s] 你们都会发现有一个很明显的特征
[2919.8s-2923.3s] 一切都已基于客观事实和底层逻辑
[2923.4s-2924.5s] 去谈一件事
[2924.5s-2926.2s] 我不会盲目去邀功
[2926.4s-2928.0s] 可能换个直播间换个主播
[2928.0s-2930.5s] 他就会说你看我曾经跟你们说过的
[2930.5s-2932.5s] 上伟新财四天涨了多少个点
[2932.5s-2933.1s] 多牛逼
[2933.1s-2934.0s] 你看我就不这样
[2936.4s-2937.8s] 一就是一二就是二
[2938.1s-2940.2s] 这个标地不属于我们任职内的
[2940.2s-2942.1s] 也不属于市场风格偏好
[2942.7s-2943.7s] 占再多
[2944.2s-2945.7s] 我也不会在这里秀
[2946.1s-2946.8s] 知识未体
[2946.8s-2947.9s] 我只是告诉过你们
[2947.9s-2949.0s] 这个标地是个风向标
[2949.0s-2949.5s] 为什么
[2949.5s-2951.7s] 因为机器人板块里面需要有一个标地
[2951.7s-2952.9s] 来打出赚钱效应
[2953.4s-2955.6s] 才能证明机器人这个补涨方向
[2955.6s-2956.4s] 我们选对了
[2957.7s-2958.7s] 事实也证明
[2958.7s-2960.7s] 当我们选到机器人作为补涨
[2961.2s-2962.7s] 作为扛跌方向的时候
[2962.7s-2964.1s] 你发现我们又选对了
[2964.4s-2965.5s] 只要科技一若
[2965.5s-2966.8s] 机器人就是聚焦点
[2968.8s-2969.3s] 对不对
[2970.8s-2971.4s] 是不是
[2973.9s-2976.0s] 你们会发现一个现象
[2976.0s-2978.7s] 就是机器人这个方向作为市场补跌
[2979.2s-2980.9s] 作为市场扛跌最好的方向
[2980.9s-2981.8s] 科技调整
[2981.8s-2983.0s] 我们也选对了
[2983.5s-2985.2s] 你在机器人的标地里面说实话
[2985.2s-2986.3s] 亏钱也难
[2986.8s-2988.1s] 只不过它涨得不多
[2989.0s-2990.4s] 但是你要对比现代的行情
[2990.4s-2991.5s] 不亏钱就是牛逼了
[2992.7s-2992.9s] 对吧
[2992.9s-2994.3s] 今天科技谷调整的时候
[2994.3s-2995.7s] 你看机器人又很凶残
[2997.7s-2998.8s] 机器人是不是很凶残
[3001.2s-3002.3s] 机器人今天非常强
[3002.3s-3003.8s] 你们去看中大利得
[3003.8s-3005.4s] 今天日内最有变时度的
[3005.5s-3006.4s] 就是中大利得
[3006.8s-3008.2s] 这个是在教你们盘面
[3008.2s-3009.6s] 而不是在给你们分享
[3009.6s-3010.8s] 个股你们要搞的明白
[3010.8s-3011.6s] 尤其是兴奋
[3012.9s-3014.1s] 是兴奕概念股的
[3014.1s-3015.8s] 会加到我们的兴奕概念股里面
[3018.2s-3019.3s] 还有我看到又有兴奋
[3019.3s-3020.5s] 在说明天能买什么
[3020.5s-3021.2s] 天天可以买
[3022.9s-3024.2s] 先把你的基础打好
[3024.2s-3025.6s] 先不要考虑买什么
[3026.5s-3027.1s] 能懂吗
[3029.4s-3030.9s] 你会发现最终我一切
[3030.9s-3031.9s] 都是为了大家好
[3035.8s-3037.4s] 赚钱不急于这一两天
[3038.8s-3040.5s] 你不把直播回放听完了
[3041.4s-3042.8s] 想什么赚钱这件事情
[3045.0s-3046.3s] 扎扎实实的赚钱
[3046.3s-3047.4s] 才能让你安心
[3048.0s-3050.0s] 这句话送给新进来的
[3050.0s-3051.9s] 再次送给新进来的所有的兴奋
[3052.3s-3053.5s] 扎扎实实的赚钱
[3053.5s-3054.6s] 你才会很安心
[3055.1s-3056.1s] 我们你去看
[3056.4s-3057.6s] 进到我们这个直播间
[3057.6s-3058.3s] 你什么都不用考虑
[3058.3s-3059.0s] 去看一件事情
[3059.0s-3060.4s] 看看老粉的反馈
[3062.3s-3063.8s] 这里直播间所有的老粉
[3063.8s-3066.4s] 有一些老粉是跟你们一样的兴奋
[3066.4s-3068.0s] 只不过他们是三个礼拜进来的
[3068.0s-3069.0s] 三个礼拜钱进来的
[3069.7s-3071.6s] 但是通过三个礼拜的直播课
[3071.9s-3073.8s] 你再去看看他们的认知水平
[3073.8s-3074.9s] 和交易能力
[3075.4s-3077.5s] 以及目前可能也拿到了一些结果
[3077.5s-3078.7s] 因为他们进来早
[3079.0s-3080.5s] 所以也吃到了一些红利
[3081.1s-3082.6s] 不是每天都有票的
[3083.0s-3084.0s] 你要根据行情来
[3084.0s-3085.2s] 要根据节点来
[3085.4s-3086.8s] 只有在对的节点
[3088.0s-3088.8s] 对的时机
[3088.8s-3091.6s] 选对方向选中个股
[3091.6s-3093.3s] 才能让你大概率赚钱
[3093.3s-3094.7s] 听清楚是大概率赚钱
[3101.0s-3101.8s] 能听懂了吗
[3102.4s-3103.7s] 才不入集门
[3105.7s-3106.2s] OK
[3107.1s-3107.5s] 好了
[3107.8s-3108.4s] 那么
[3110.4s-3112.4s] 新来的新粉老粉给个忠告
[3112.4s-3115.0s] 别用你的自己的猪脑子乖乖听老师的话
[3115.6s-3116.9s] 我都后悔来晚了
[3117.2s-3118.6s] 我跟你们说
[3119.0s-3120.8s] 你们现在能进来的新粉
[3120.8s-3121.7s] 已经很不错了
[3121.7s-3122.8s] 你们去想想看
[3123.5s-3124.5s] 我说句实话
[3124.5s-3127.5s] 每一个人都是会为自己的决定有代价的
[3128.2s-3128.9s] 你想
[3129.2s-3130.8s] 当我们最早的时候
[3130.8s-3132.5s] 东山精密拿到结果的时候
[3132.5s-3133.8s] 那一批新粉
[3133.8s-3134.9s] 一看
[3134.9s-3136.0s] 相信相信的力量
[3136.1s-3136.8s] 进来的人
[3137.1s-3138.4s] 吃到了多少红利
[3138.8s-3139.4s] 对不对
[3139.4s-3141.3s] 然后更保守一点的人
[3141.3s-3142.4s] 看到了东山精密
[3142.4s-3143.6s] 看到了德明利以后
[3143.6s-3144.5s] 好后面进来的人
[3144.5s-3146.1s] 至少也吃到了赵毅创新
[3146.4s-3147.8s] 然后又看到了赵毅创新
[3147.8s-3148.5s] 再进来的人
[3148.5s-3150.8s] 终于也吃到了这一波PCB
[3151.5s-3152.5s] 但是你们要去想
[3152.5s-3153.3s] 你们现在进来了
[3153.3s-3155.0s] 未来你们不就有机会了吗
[3155.2s-3156.2s] 所以根本就不用急
[3156.2s-3157.3s] 不要去担心
[3157.3s-3158.2s] 我跟你们说过了
[3158.2s-3159.7s] 我在这里没有讲过
[3159.7s-3160.8s] 我在公寓直播间讲过了
[3160.8s-3162.8s] 现在有可能国运牛
[3162.8s-3164.5s] 我要把牛拉长
[3165.4s-3167.5s] 也许我们能做到2030年
[3168.3s-3171.2s] 凭什么美股可以15年16年牛市
[3171.8s-3174.1s] 我们大A就不能5年6年的
[3174.1s-3174.9s] 结构性牛市
[3176.0s-3178.4s] 我现在也在颠覆我以前的观点
[3178.4s-3180.7s] 我以前一直认为我觉得牛市
[3180.7s-3181.3s] 我一直在跟你们说
[3181.3s-3182.7s] 我说到28年差不多
[3182.7s-3183.9s] 现在我也要颠覆很关键
[3183.9s-3185.7s] 因为从这两次接见
[3186.2s-3189.1s] 美国一把手和俄罗斯一把手
[3189.4s-3190.8s] 我真的觉得中国崛起了
[3190.8s-3192.0s] 这轮国运牛
[3192.3s-3193.8s] 有可能能到2030年
[3193.9s-3195.2s] 如果到2030年
[3195.2s-3196.8s] 我们还有三年半
[3196.8s-3198.2s] 三年半里面这里面
[3198.2s-3200.2s] 至少还有40轮行情
[3200.4s-3202.6s] 就像现在这种小组成浪行情
[3203.1s-3204.7s] 至少30到40次
[3204.7s-3205.4s] 急什么
[3208.5s-3210.0s] 所有老粉都这么舒服了
[3210.0s-3211.4s] 你还急什么
[3211.4s-3212.8s] 你还需要急吗
[3213.0s-3215.0s] 新粉进来无非不就是看老粉吗
[3218.9s-3219.3s] 真的
[3219.3s-3221.1s] 我真的觉得有的时候要颠覆
[3221.7s-3223.0s] 我真的觉得有的时候要颠覆
[3223.0s-3224.8s] 我觉得真的要相信
[3224.8s-3226.2s] 国运牛现在
[3226.7s-3228.0s] 国家的强大已经
[3228.0s-3229.5s] 不是我们说强大了
[3230.0s-3231.4s] 是世界认可的强大
[3234.0s-3234.6s] 好吗
[3235.3s-3235.8s] 来
[3236.5s-3236.9s] 来
[3236.9s-3238.2s] 等一下我给大家排面
[3238.2s-3239.2s] 做一个最后的总结
[3239.2s-3240.8s] 因为今天讲的稍微有点分散
[3240.8s-3241.6s] 我穿插了一些内容
[3241.6s-3242.6s] 因为今天行情唱
[3242.9s-3244.7s] 我们虽然说是享受很爽
[3244.7s-3245.7s] 我们很爽
[3246.6s-3247.9s] 能不能续费到2030年
[3247.9s-3248.5s] 来
[3248.6s-3250.0s] 我讲一下线下会的事情
[3250.0s-3252.2s] 这个事情可能跟新粉关系不大
[3252.5s-3253.9s] 那么你也当听一听
[3254.1s-3256.7s] 为什么会有这次会有一个线下聚餐
[3256.9s-3257.9s] 是因为
[3258.4s-3261.1s] 说的好听说的实在一点就是大家都赚钱了
[3261.6s-3262.4s] 都暴赚
[3263.5s-3264.1s] 好吗
[3264.1s-3265.6s] 这是一个起因
[3265.6s-3266.8s] 因为大家都暴赚了
[3266.8s-3268.0s] 大家都非常喜悦
[3268.0s-3268.8s] 那么当然
[3269.4s-3271.1s] 核心原因是因为
[3271.4s-3272.5s] 大家想见我
[3272.5s-3274.7s] 我也想间接部分铁粉
[3275.3s-3278.3s] 因为隔着屏幕永远都是冰冷的
[3279.1s-3280.4s] 隔着屏幕说句实话
[3280.4s-3281.3s] 永远都是冰冷的
[3281.3s-3283.4s] 我也想间接部分我的铁粉
[3283.7s-3285.4s] 对我来说也非常的高兴
[3285.6s-3287.9s] 就有一个粉丝说的比我自己赚钱还开心
[3287.9s-3289.9s] 看到你们赚钱比我自己赚钱还开心
[3290.0s-3290.8s] 这是实话
[3291.6s-3294.1s] 所以你们会发现这几天我特别的
[3294.8s-3295.9s] 情绪特别的高涨
[3296.7s-3298.4s] 哪怕生病了也给你们录制了
[3299.1s-3301.1s] 那一天三四点钟给你们录制的
[3302.0s-3303.4s] 录制的回放
[3304.3s-3307.0s] 所以才会有这个契机
[3307.0s-3308.1s] 才会有这个契机
[3308.1s-3309.3s] 其实就是庆功宴
[3309.7s-3310.9s] 那么在这个庆功宴上面
[3310.9s-3311.9s] 我稍微给你们讲一下
[3311.9s-3313.0s] 第一庆功宴
[3314.3s-3315.1s] 我们是周末
[3315.5s-3316.9s] 基本上就是定周六
[3318.0s-3318.6s] 周六
[3319.1s-3320.1s] 目前来说
[3320.1s-3321.3s] 目前来说
[3321.5s-3324.1s] 我们整个庆功宴分成几个环节
[3324.1s-3324.7s] 第一
[3325.3s-3325.9s] 第一
[3326.5s-3327.4s] 一点钟
[3327.8s-3328.7s] 到饭前
[3329.2s-3332.3s] 会有我的一个
[3333.3s-3334.3s] 私密分享
[3334.3s-3336.3s] 这个私密分享不可能有泄漏
[3336.7s-3338.4s] 我先说不可能有泄漏
[3338.9s-3341.3s] 这个私密会分享核心的一点
[3341.3s-3341.7s] 就是
[3342.5s-3344.3s] 教大家如何做到稳定盈利
[3345.9s-3346.2s] 好
[3346.2s-3346.7s] 这是第一个
[3346.7s-3348.9s] 第二个请了一位神秘嘉宾
[3349.5s-3352.8s] 这几年他从他从几十万做到了A9
[3354.5s-3355.7s] 四年时间
[3356.1s-3357.0s] 四年时间
[3357.2s-3358.8s] 从90万到了A9
[3361.1s-3362.3s] 这个神秘嘉宾是谁
[3362.3s-3363.1s] 我现在不说
[3363.1s-3364.5s] 到时候你们自然就知道了
[3365.9s-3366.9s] 这是第二个
[3367.6s-3369.1s] 第三个就是我们的晚宴
[3369.1s-3369.8s] 晚宴
[3370.1s-3370.8s] 因为庆功宴
[3370.8s-3372.5s] 我逼格会拉的比较高
[3372.9s-3375.2s] 无论是餐厅还是
[3376.3s-3376.7s] 喝的
[3376.7s-3378.5s] 因为我平时只喝茅台
[3379.2s-3379.9s] 养酒的话
[3379.9s-3380.8s] 反正也基本上差
[3381.3s-3383.1s] 所以我们就喝茅台好了
[3383.5s-3385.8s] 当然也会背一些红酒什么的
[3385.8s-3387.7s] 看有些人可能要喝红的
[3387.7s-3389.7s] 干白这些啥的都会背
[3389.9s-3392.2s] 但是组合还是以茅台为主
[3392.2s-3393.9s] 所以逼格会拉的比较高
[3394.1s-3395.4s] 那么吃完饭以后
[3395.4s-3396.2s] 到时候我们再看
[3396.2s-3397.6s] 具体安排什么活动
[3397.6s-3399.0s] 这里是饭后活动
[3399.2s-3400.8s] 整体是这么一个过程
[3401.1s-3402.5s] 主要核心是庆功宴
[3402.5s-3403.3s] 然后
[3404.4s-3405.8s] 还会送大家一份
[3405.8s-3407.3s] 超级神秘的大礼
[3408.9s-3410.1s] 这个神秘大礼
[3410.1s-3411.5s] 是我们直播间
[3411.9s-3413.1s] 很多人
[3413.3s-3415.0s] 梦寐以求的大礼
[3415.8s-3417.1s] 也不能先告诉你
[3417.8s-3418.8s] 也不能先告诉你
[3418.8s-3420.8s] 我先把这个伏笔埋在这里
[3420.8s-3422.3s] 两个神秘大礼
[3422.3s-3423.7s] 一个是神秘嘉宾
[3424.0s-3425.5s] 一个是一份神秘大礼
[3425.5s-3426.3s] 这个神秘大礼
[3426.3s-3427.8s] 是很多直播间的人想要的
[3428.4s-3429.1s] 我知道
[3431.4s-3432.1s] 你们来了
[3432.1s-3434.0s] 你就知道这个神秘大礼是什么
[3434.3s-3435.0s] 听完之后
[3435.0s-3435.7s] 你就会
[3436.8s-3438.6s] 可能你会兴奋的睡不着觉
[3439.5s-3441.1s] 可能你会兴奋的睡不着觉
[3442.1s-3442.6s] 好
[3445.4s-3445.7s] 好
[3446.9s-3447.9s] 师娘也会来
[3448.2s-3448.9s] 师娘也会来
[3451.5s-3452.0s] 对
[3452.6s-3453.7s] 就是这么的神秘
[3454.6s-3455.8s] 没有什么配与不配
[3456.1s-3456.5s] 这个没有什么
[3456.5s-3457.6s] 都是我的铁粉
[3457.6s-3458.3s] 都有机会
[3458.3s-3461.1s] 那么这次总共200个名额
[3461.7s-3462.2s] 听清楚
[3462.6s-3463.8s] 跟我们兴奋关系不大
[3463.8s-3464.9s] 兴奋还是那句话
[3464.9s-3466.3s] 你们刚进来的还是要先
[3466.5s-3467.9s] 先验证我的实力
[3468.7s-3469.7s] 先去听回放
[3470.2s-3471.1s] 来听我说完
[3471.1s-3471.9s] 不要着急
[3473.0s-3473.8s] 不要着急
[3473.8s-3474.5s] 不要着急
[3475.8s-3476.5s] 不要着急
[3477.3s-3477.8s] 来
[3477.8s-3478.2s] 继续
[3479.7s-3481.5s] 那么我们大概的规划是
[3481.5s-3482.3s] 现价会
[3482.9s-3484.5s] 总共会分四场
[3485.2s-3486.5s] 每场50个人以内
[3486.5s-3488.0s] 总共200个名额
[3488.3s-3489.8s] 要抢我们直播间人
[3489.8s-3490.8s] 太多的几千人
[3492.0s-3493.5s] 只有我们直播间的人
[3493.5s-3495.3s] 才有资格去申请
[3495.5s-3496.9s] 今天会填一份
[3498.4s-3499.7s] 问卷申请单
[3500.3s-3501.5s] 在这些人里面
[3501.5s-3503.3s] 我们去做筛选
[3505.0s-3506.0s] 在这些人里面
[3506.0s-3508.0s] 我们去做筛选
[3510.6s-3511.2s] 能懂吗
[3511.6s-3512.6s] 总共200个名额
[3512.6s-3513.3s] 然后地点
[3513.3s-3515.6s] 我们初步定在北京
[3515.8s-3516.4s] 深圳
[3516.6s-3517.4s] 杭州
[3518.0s-3520.1s] 你要先填第一印象地方
[3520.1s-3521.0s] 比如说第一印象地方
[3521.0s-3521.7s] 你是北京
[3521.7s-3522.6s] 那你填北京
[3522.8s-3523.6s] 第二印象地方
[3523.6s-3524.2s] 你就不用填了
[3524.2s-3525.0s] 都是杭州
[3526.9s-3527.4s] 能懂吗
[3527.4s-3528.2s] 第二印象地方
[3528.2s-3529.1s] 你就不用填了
[3529.3s-3530.8s] 但是你如果第一印象
[3530.9s-3531.6s] 填杭州
[3532.1s-3535.3s] 大概概率能入围的概率会高
[3535.3s-3535.7s] 为什么
[3535.7s-3537.7s] 因为有可能北京人不够
[3537.9s-3539.2s] 四五十个人就不办了
[3540.1s-3540.9s] 能听懂这个逻辑
[3540.9s-3541.2s] 对吧
[3542.0s-3545.6s] 就是你选第一地方选杭州
[3545.6s-3547.1s] 一定入围概率会更大
[3548.5s-3549.7s] 因为北京跟深圳
[3549.7s-3551.3s] 我不确定有没有这么多人
[3551.9s-3553.8s] 但是北京跟深圳不是说
[3554.1s-3554.9s] 去不了不用填
[3554.9s-3557.2s] 不来的不要填
[3557.2s-3557.7s] 不要下田
[3558.2s-3558.9s] 不来的不要下田
[3559.9s-3560.7s] 不来的不要填
[3561.0s-3561.5s] 抢名额
[3561.5s-3562.9s] 不要占别人的名额
[3564.1s-3565.7s] 不要占别人的名额
[3566.5s-3566.9s] 好吧
[3567.8s-3568.6s] 所以你们要搞懂
[3568.6s-3569.3s] 就是说
[3570.1s-3571.1s] 北边那一片
[3571.1s-3572.6s] 大概的你们都往北京拥
[3572.6s-3573.8s] 所以你们的第一选择
[3573.8s-3574.5s] 很多人比如说
[3574.5s-3575.5s] 有些人说我是天津
[3576.0s-3576.8s] 那你肯定是北京津
[3576.8s-3578.2s] 那你的第一选择可能是
[3578.7s-3579.8s] 有些人说我是广州的
[3579.8s-3580.6s] 那你肯定填深圳
[3581.3s-3583.1s] 我觉得北京深圳肯定人够
[3583.1s-3585.5s] 因为是一圈地方的人都去那里
[3585.5s-3587.2s] 又不是说是只是北京人
[3587.7s-3588.3s] 能懂吗
[3588.6s-3589.9s] 就你们自己看便利
[3590.1s-3590.9s] 每个城市便利
[3590.9s-3592.3s] 你就第一选择填哪个
[3592.5s-3594.1s] 然后第二选择都是杭州
[3594.6s-3596.5s] 第二选择其实是不用选择
[3596.5s-3597.2s] 都是杭州
[3598.4s-3598.7s] 好吧
[3598.7s-3599.9s] 但是你要填
[3599.9s-3601.0s] 如果你第二选择没有
[3601.0s-3602.3s] 就说明你来不了杭州
[3602.3s-3602.9s] 听懂了吗
[3604.0s-3604.6s] 听懂了吗
[3604.6s-3605.1s] 能听懂了
[3605.6s-3607.5s] 就是第二选择要填
[3607.5s-3608.4s] 如果你不填
[3608.4s-3608.9s] 你滑掉
[3608.9s-3610.0s] 就说明你来不了杭州
[3610.0s-3610.6s] 就是这个意思
[3610.6s-3611.9s] 你只能选第一选择
[3612.8s-3614.0s] 每一场都是周六
[3614.0s-3615.5s] 这周六下周六
[3615.5s-3616.3s] 下下周六
[3616.3s-3617.9s] 现在下周六都可能
[3617.9s-3618.5s] 都可以
[3618.6s-3620.0s] 这个问题可以调继的
[3620.0s-3622.0s] 因为杭州肯定不只办一场
[3623.6s-3624.2s] 能懂吗
[3626.7s-3627.1s] 能懂吗
[3627.1s-3628.4s] 所以不是这一周
[3628.4s-3629.8s] 我们会连续办
[3629.8s-3631.7s] 大概办五到六周
[3631.7s-3635.2s] 因为会根据你们具体实际填的情况
[3637.1s-3638.1s] 实际填的
[3638.3s-3640.2s] 情况来定
[3640.2s-3641.8s] 所以你们现在只是一个意愿
[3641.8s-3643.4s] 不需要付费
[3644.2s-3646.3s] 我们先下去参AA制的话
[3646.3s-3649.1s] 基本上人均是8888
[3650.1s-3651.9s] 人均是8888
[3652.2s-3652.8s] OK
[3653.7s-3656.6s] 所有的环节成本加起来差不多
[3658.0s-3659.7s] 到时候我们会有很多小客服
[3659.7s-3660.4s] 你们也会看到
[3660.4s-3661.8s] 你们会看到星星
[3663.1s-3663.7s] 是星星
[3663.8s-3665.6s] 我老会搞滚
[3665.8s-3666.7s] 服务你们的是星星
[3666.7s-3667.1s] 还是意义
[3667.1s-3667.6s] 忘了
[3668.2s-3670.0s] 你们也会看到一些小客服
[3670.0s-3670.5s] 好吧
[3673.0s-3674.3s] 然后来客服帮我们上
[3674.3s-3676.4s] 帮我上问卷调查表
[3677.2s-3677.9s] 要来的
[3677.9s-3679.0s] 填不要来的
[3679.5s-3680.2s] 不要填
[3680.4s-3681.9s] 不要抢占别人的名额
[3681.9s-3683.0s] 然后因为这个名额
[3683.0s-3684.1s] 会直接归伙
[3684.1s-3685.3s] 我们要去归换
[3685.6s-3686.3s] 现价会
[3686.6s-3687.3s] 地点
[3687.4s-3688.3s] 时间
[3688.5s-3689.4s] 怎么安排
[3689.4s-3690.2s] 能明白吗
[3691.1s-3692.1s] 我参查一下
[3692.1s-3693.1s] 然后等下我们把
[3693.2s-3694.2s] 交易的事情讲完
[3694.2s-3695.5s] 是星星
[3695.5s-3696.0s] 好
[3696.2s-3696.4s] 对
[3696.4s-3696.6s] OK
[3696.6s-3697.3s] 是星星
[3697.3s-3697.9s] 来
[3698.1s-3699.7s] 你要来参加的就去填
[3699.7s-3700.7s] 不来参加的
[3700.7s-3701.7s] 不要去填
[3703.5s-3704.0s] 听懂了吗
[3704.0s-3705.2s] 要来参加的
[3705.2s-3706.5s] 填不来参加的
[3706.5s-3707.6s] 不要去填
[3708.9s-3709.5s] OK
[3710.0s-3710.3s] 好了
[3710.3s-3711.6s] 就整体就是这么一个过程
[3711.6s-3712.3s] 还有不懂的
[3712.3s-3713.0s] 等到直播完
[3713.0s-3714.7s] 你们可以去联系你们的
[3714.8s-3716.2s] 专属客服星星
[3716.3s-3716.9s] 好吗
[3717.5s-3718.0s] 来
[3718.0s-3720.1s] 这是我们的首次庆功宴
[3720.2s-3721.0s] 首次庆功宴
[3721.0s-3722.9s] 大家也开心这一轮主生了
[3723.2s-3723.6s] 说白了
[3723.6s-3724.5s] 老粉转麻了
[3724.5s-3725.6s] 老粉转麻了
[3726.3s-3726.7s] OK
[3726.7s-3727.5s] 那么说一下
[3727.5s-3728.0s] 接下来
[3728.0s-3728.5s] 来
[3728.7s-3729.6s] 新粉这个可以
[3729.6s-3730.8s] 这个环节可以过滤掉
[3730.9s-3732.4s] 新粉这个环节可以过滤掉
[3733.4s-3734.0s] 来
[3734.2s-3735.8s] 我们把盘面做一个最终的总结
[3735.8s-3736.0s] 来
[3736.0s-3738.2s] 首先第一个指数节点没有变
[3738.2s-3739.3s] 现在是弱势正当
